run_type,br,N,hot,mode,correctness,throughput,width,latency,total_updates,num_no_ops,num_mutations,extractor_llm_time_sec,reasoner_llm_time_sec,total_time_sec,mutation_ratio,noop_ratio,llm_time_sec,non_llm_time_sec,llm_fraction,extractor_fraction,reasoner_fraction
real,4,100,0.1,batch,1.0,0.7071265043306245,26.0,0.04252279557287693,100,2,98,140.34884580038488,4.252279557287693,141.41741171851754,0.98,0.02,144.60112535767257,-3.1837136391550303,1.0225128829644543,0.99244388717664,0.030068995787814218
real,4,100,0.1,sequential,1.0,0.5234970314901731,1.0,0.7614629226177931,100,2,98,175.00159749761224,76.14629226177931,191.0230507235974,0.98,0.02,251.14788975939155,-60.12483903579414,1.3147517475406272,0.9161281679603811,0.398623579580246
real,4,50,0.8,dag,1.0,0.7758064481222167,3.125,0.24796407584100963,50,4,46,61.25652125477791,12.39820379205048,64.44906473904848,0.92,0.08,73.65472504682839,-9.205660307779908,1.142836212519968,0.9504640835798465,0.19237212894012162
real,4,50,0.8,batch,0.9444444444444444,0.8084978828799585,13.0,0.06965096469968557,50,4,46,60.93391360901296,3.4825482349842787,61.843080926686525,0.92,0.08,64.41646184399724,-2.5733809173107147,1.041611460469788,0.9852988029695454,0.056312657500242516
real,4,50,0.8,sequential,1.0,0.7210850106427877,1.0,0.6837133289501071,50,4,46,61.70834225229919,34.185666447505355,69.33995196409523,0.92,0.08,95.89400869980454,-26.55405673570931,1.3829546456775628,0.8899392125949589,0.49301543308260376
real,4,50,0.95,dag,1.0,0.8076079098092018,3.125,0.24051378708332777,50,5,45,59.494685385376215,12.025689354166389,61.91123117133975,0.9,0.1,71.5203747395426,-9.609143568202853,1.1552084070434567,0.9609675701767951,0.19424083686666174
real,4,50,0.95,batch,0.8787878787878788,0.8257835932649238,13.0,0.06743746906518937,50,3,47,59.53071388974786,3.371873453259468,60.548550985753536,0.94,0.06,62.902587343007326,-2.35403635725379,1.0388784920353862,0.9831897365100419,0.05568875552534421
real,4,50,0.95,sequential,1.0,0.738104320394397,1.0,0.6733309414237738,50,5,45,60.08669044263661,33.66654707118869,67.74110192619264,0.9,0.1,93.7532375138253,-26.012135587632656,1.3839933931983301,0.8870049162782161,0.4969884769201141
real,4,50,0.1,dag,1.0,0.6938674990357027,7.142857142857143,0.11741688210517168,50,0,50,71.12708338163793,5.870844105258584,72.05986743792892,1.0,0.0,76.99792748689651,-4.9380600489676,1.0685271875253053,0.9870554291944199,0.08147175833088542
real,4,50,0.1,batch,1.0,0.6989387305732766,13.0,0.07579109154641628,50,0,50,70.5570957493037,3.789554577320814,71.5370286591351,1.0,0.0,74.34665032662451,-2.8096216674894094,1.0392750680333245,0.9863017387191092,0.052973329314215195
real,4,50,0.1,sequential,1.0,0.4492461351356885,1.0,0.7553687759116292,50,0,50,103.7540747076273,37.76843879558146,111.29756293818355,1.0,0.0,141.52251350320876,-30.22495056502521,1.2715688445200963,0.932222341339621,0.3393465031804754
real,4,500,0.8,dag,1.0,0.7903615758913088,4.761904761904762,0.2126466860510409,500,109,391,608.2729713264853,106.32334302552044,632.6218470782042,0.782,0.218,714.5963143520057,-81.97446727380157,1.1295789382747448,0.9615111683793796,0.16806776989536507
real,4,500,0.8,batch,0.875,0.8165233866886894,126.0,0.028883316852152348,500,76,424,608.1151686422527,14.441658426076174,612.3523320350796,0.848,0.152,622.5568270683289,-10.204495033249259,1.016664417687993,0.9930805139930713,0.02358390369492193
real,4,500,0.8,sequential,1.0,0.6957729202181613,1.0,0.8297536495625972,500,112,388,615.6245588883758,414.87682478129864,718.6252661906183,0.776,0.224,1030.5013836696744,-311.8761174790561,1.4339899140094106,0.8566697941915653,0.5773201198178451
real,4,200,0.8,dag,1.0,0.7741336709001327,3.8461538461538463,0.23720467168837786,200,32,168,246.06444611772895,47.44093433767557,258.3533148318529,0.84,0.16,293.5053804554045,-35.15206562355161,1.1360619880044118,0.9524338647556271,0.18362812324878472
real,4,200,0.8,batch,0.8936170212765957,0.8079985251418039,51.0,0.02978308266028762,200,27,173,245.73130570538342,5.956616532057524,247.52520428784192,0.865,0.135,251.68792223744094,-4.162717949599028,1.0168173498192867,0.9927526629555978,0.02406468686368883
real,4,200,0.8,sequential,1.0,0.6954850211739939,1.0,0.7686538330558688,200,33,167,248.891609352082,153.73076661117375,287.5690976958722,0.835,0.165,402.62237596325576,-115.05327826738358,1.4000891583596433,0.8655019310013109,0.5345872273583325
real,4,50,0.5,dag,1.0,0.7286037689843549,4.166666666666667,0.1766949624195695,50,1,49,65.91559119150043,8.834748120978475,68.62440482527018,0.98,0.02,74.7503393124789,-6.125934487208724,1.0892675791186304,0.9605269635391831,0.12874061557944727
real,4,50,0.5,batch,0.92,0.75101865394836,13.0,0.06766791347414255,50,0,50,65.78263104148209,3.3833956737071276,66.57624246366322,1.0,0.0,69.16602671518922,-2.589784251525998,1.0388995256519544,0.9880796603591097,0.050819865292844636
real,4,50,0.5,sequential,1.0,0.6775442246450276,1.0,0.6601915489882231,50,1,49,66.55934332497418,33.009577449411154,73.79592088796198,0.98,0.02,99.56892077438533,-25.77299988642335,1.3492469444964619,0.9019379733200364,0.4473089711764254
real,4,200,0.1,dag,1.0,0.7027642270662907,13.333333333333334,0.0789805761538446,200,8,192,280.19661231711507,15.796115230768919,284.5904676094651,0.96,0.04,295.992727547884,-11.402259938418865,1.0400655019621594,0.9845607784081524,0.05550472355400691
real,4,200,0.1,batch,0.9880239520958084,0.7108940235813409,51.0,0.024498717030510306,200,6,194,279.9159740563482,4.899743406102061,281.3358860332519,0.97,0.03,284.81571746245027,-3.4798314291983843,1.0123689568304381,0.994952965308038,0.01741599152240019
real,4,200,0.1,sequential,1.0,0.6287739127050523,1.0,0.7342097383365035,200,8,192,283.24111225269735,146.8419476673007,318.07935405522585,0.96,0.04,430.08305991999805,-112.0037058647722,1.3521250418702933,0.8904731119502972,0.46165192991999593
real,4,200,0.5,dag,1.0,0.7463809891595093,7.142857142857143,0.12961905747652053,200,8,192,261.34976879507303,25.923811495304108,267.9596652444452,0.96,0.04,287.27358029037714,-19.313915045931935,1.072077695082627,0.9753324947493783,0.0967452003332487
real,4,200,0.5,batch,0.9342105263157895,0.7585804869830735,51.0,0.024159812312573196,200,7,193,262.2127786371857,4.831962462514639,263.6503356359899,0.965,0.035,267.04474109970033,-3.3944054637104273,1.0128746487483973,0.9945474865589059,0.01832716218949143
real,4,200,0.5,sequential,1.0,0.6657255350182679,1.0,0.7270097927283495,200,8,192,266.08630776032805,145.4019585456699,300.42410795390606,0.96,0.04,411.48826630599797,-111.06415835209191,1.3696912312015002,0.8857022479738995,0.4839889832276006
real,4,100,0.8,dag,1.0,0.7820455103410566,3.4482758620689653,0.23971922485157848,100,14,86,123.05558964982629,23.971922485157847,127.86979616619647,0.86,0.14,147.02751213498414,-19.15771596878767,1.1498220576177955,0.9623507140801805,0.1874713435376152
real,4,100,0.8,batch,0.8983050847457628,0.8034604049847003,26.0,0.04710313744843006,100,9,91,122.86313259229064,4.710313744843006,124.46164039894938,0.91,0.09,127.57344633713365,-3.1118059381842613,1.025002128593273,0.9871566227029076,0.037845505890365616
real,4,100,0.8,sequential,1.0,0.7041232610568148,1.0,0.7328335509821773,100,14,86,124.91679340042174,73.28335509821773,142.02058862522244,0.86,0.14,198.20014849863946,-56.17955987341702,1.3955733490280697,0.8795681992986535,0.5160051497294161
real,4,200,0.95,dag,1.0,0.7984163375449022,3.6363636363636362,0.24370118373073638,200,54,146,236.5847565922886,48.740236746147275,250.49587614275515,0.73,0.27,285.3249933384359,-34.82911719568074,1.139040680956488,0.9444656743868362,0.19457500656965182
real,4,200,0.95,batch,0.8909090909090909,0.841522768454761,51.0,0.028721874793991447,200,38,162,235.87491843104362,5.744374958798289,237.66439542360604,0.81,0.19,241.6192933898419,-3.954897966235876,1.0166406834275146,0.9924705718356639,0.0241701115918507
real,4,200,0.95,sequential,1.0,0.7193010565133582,1.0,0.7564130072854459,200,54,146,240.32100699841976,151.28260145708919,278.04769392311573,0.73,0.27,391.60360845550895,-113.55591453239322,1.4084044464824552,0.8643157711815874,0.5440886753008678
real,4,500,0.95,dag,1.0,0.8049230526301853,4.464285714285714,0.21905579978227616,500,145,355,592.4800090566278,109.52789989113808,621.1773887779564,0.71,0.29,702.0079089477658,-80.83052016980946,1.1301246980815376,0.9538016350244412,0.17632306305709639
real,4,500,0.95,batch,0.782608695652174,0.8344911210370861,126.0,0.028998950704932212,500,107,393,594.8426767662168,14.499475352466106,599.1675494145602,0.786,0.214,609.3421521186829,-10.174602704122663,1.0169812312333406,0.9927818643506825,0.02419936688265808
real,4,500,0.95,sequential,1.0,0.7066252533245986,1.0,0.834438491769135,500,147,353,601.5371156483889,417.2192458845675,707.5886371843517,0.706,0.294,1018.7563615329564,-311.1677243486047,1.4397579440885433,0.8501226334583823,0.5896353106301611
synthetic,8,500,0.1,dag,1.0,0.6414687212079109,13.157894736842104,0.09120080439001321,500,42,458,771.4724866785109,45.60040219500661,779.4612324330956,0.916,0.084,817.0728888735175,-37.61165644042194,1.0482534023186976,0.9897509389535029,0.0585024633651946
synthetic,8,500,0.1,batch,0.9898477157360406,0.6457406650122958,63.0,0.024936228726059197,500,38,462,772.3431139551103,12.4681143630296,774.304650599137,0.924,0.076,784.8112283181399,-10.506577719002962,1.0135690489665448,0.9974667120460805,0.01610233692046418
synthetic,8,500,0.1,sequential,1.0,0.5919953938567648,1.0,0.9047065843939781,500,42,458,783.2264146208763,452.35329219698906,844.6011661384255,0.916,0.084,1235.5797068178654,-390.9785406794399,1.4629149903581362,0.9273328596050149,0.5355821307531214
synthetic,8,100,0.5,dag,1.0,0.6549845467550305,5.0,0.20427999492734672,100,6,94,150.12595197185874,20.42799949273467,152.67535775527358,0.94,0.06,170.5539514645934,-17.87859370931983,1.1171020259731619,0.9833017860845538,0.13380023988860812
synthetic,8,100,0.5,batch,1.0,0.6620160981275649,13.0,0.08632743809372187,100,6,94,149.70387971773744,8.632743809372187,151.05372857674956,0.94,0.06,158.33662352710962,-7.28289495036006,1.0482139369811032,0.9910637832529484,0.057150153728154664
synthetic,8,100,0.5,sequential,1.0,0.6270027094505841,1.0,0.8097537775710225,100,6,94,151.9287612568587,80.97537775710225,159.4889439754188,0.94,0.06,232.90413901396096,-73.41519503854215,1.46031526204009,0.9525974495152133,0.5077178125248767
synthetic,8,500,0.5,dag,1.0,0.6598350196449829,6.4935064935064934,0.1882983948364854,500,85,415,744.767302531749,94.1491974182427,757.7651763148606,0.83,0.17,838.9164999499917,-81.15132363513112,1.1070929704500063,0.9828470953939551,0.12424587505605109
synthetic,8,500,0.5,batch,0.9230769230769231,0.6695981246018682,63.0,0.030023749455809594,500,71,429,744.4743878990412,15.011874727904797,746.7165477760136,0.858,0.142,759.486262626946,-12.76971485093236,1.0171011542317698,0.9969973079026434,0.020103846329126464
synthetic,8,500,0.5,sequential,1.0,0.6167288480388149,1.0,0.9137357554137707,500,85,415,754.1529475972056,456.86787770688534,810.7290612235665,0.83,0.17,1211.020825304091,-400.29176408052444,1.4937429570816139,0.9302157572334027,0.5635271998482111
synthetic,8,100,0.95,dag,1.0,0.6921807374899818,2.9411764705882355,0.2926737153157592,100,50,50,141.29269918240607,29.267371531575918,144.47093740664423,0.5,0.5,170.560070713982,-26.08913330733776,1.180583955331475,0.9780008472202798,0.20258310811119518
synthetic,8,100,0.95,batch,0.6428571428571429,0.6934824257668897,13.0,0.09261478450149298,100,47,53,142.8925772421062,9.261478450149298,144.1997609231621,0.53,0.47,152.1540556922555,-7.954294769093394,1.0551616363173577,0.9909349108993846,0.06422672541797309
